CustomerID,Name,Age,Gender,SubscriptionType,SubscriptionDate,LastLoginDate,TotalSessions,FeedbackScore,IsChurned
CUST00001,Samantha Davis,39,Male,Monthly,2024-04-02,2025-11-05,3,5,1
CUST00002,Frank Mitchell,50,Female,Monthly,2025-05-14,2025-11-08,3,3,1
CUST00003,Margaret Anderson,51,Female,Monthly,2024-02-12,2025-12-12,24,6,0
CUST00004,Rebecca Anderson,39,Male,Monthly,2023-01-14,2026-01-05,14,6,0
CUST00005,Rachel Ramirez,36,Male,Monthly,2024-11-20,2025-08-26,0,1,1
CUST00006,Richard Thompson,27,Female,Quarterly,2023-03-30,2025-12-12,9,7,0
CUST00007,Jessica Nair,24,Male,Quarterly,2025-01-10,2026-01-11,6,9,0
CUST00008,Jennifer Nelson,31,Male,Monthly,2023-06-13,2026-01-09,18,5,0
CUST00009,Timothy Moore,28,Male,Yearly,2023-11-30,2026-01-02,18,5,0
CUST00010,Christine Moore,38,Female,Quarterly,2023-05-27,2026-01-05,13,6,0
CUST00011,Jonathan Campbell,27,Male,Monthly,2024-07-06,2025-12-06,32,7,0
CUST00012,Alexander Scott,22,Male,Monthly,2023-04-25,2025-11-23,6,2,1
CUST00013,Vikram Lee,36,Male,Monthly,2024-10-06,2025-07-27,0,1,1
CUST00014,Ronald Reddy,36,Female,Monthly,2024-06-26,2025-07-11,6,4,1
CUST00015,Jonathan Taylor,32,Female,Monthly,2025-03-28,2025-10-27,3,1,1
CUST00016,Shirley Young,26,Male,Monthly,2023-08-13,2025-10-22,2,6,1
CUST00017,Rahul Baker,37,Male,Monthly,2025-02-20,2025-12-17,3,7,0
CUST00018,Angela Taylor,29,Other,Yearly,2023-01-24,2026-01-08,12,8,0
CUST00019,Debra Reddy,45,Female,Monthly,2024-11-27,2025-08-12,6,2,1
CUST00020,Christopher Robinson,30,Male,Quarterly,2024-06-23,2026-01-04,20,8,0
CUST00021,Nicholas Iyer,28,Male,Quarterly,2025-11-05,2026-01-06,16,5,0
CUST00022,Melissa Carter,20,Male,Yearly,2025-12-22,2025-12-28,24,9,0
CUST00023,Gary Johnson,33,Male,Monthly,2024-09-21,2025-10-01,7,4,1
CUST00024,Kavita Torres,26,Female,Monthly,2025-09-22,2025-12-12,20,9,0
CUST00025,Jerry Rodriguez,33,Male,Monthly,2023-12-05,2025-06-29,8,1,1
CUST00026,Jason Wilson,43,Female,Quarterly,2024-02-16,2025-12-21,18,6,0
CUST00027,Christine Adams,35,Male,Yearly,2025-07-13,2025-10-05,0,3,1
CUST00028,David Perez,37,Male,Quarterly,2024-03-27,2025-06-23,8,3,1
CUST00029,Linda Anderson,25,Male,Monthly,2024-11-07,2025-10-02,2,5,1
CUST00030,Emily Nelson,37,Female,Quarterly,2025-08-26,2025-09-02,2,5,1
CUST00031,Matthew Miller,35,Male,Monthly,2025-05-17,2025-11-18,6,2,1
CUST00032,Frank Adams,30,Other,Monthly,2025-04-04,2026-01-09,14,5,0
CUST00033,Ashley Gonzalez,37,Male,Monthly,2025-05-14,2025-08-05,4,4,1
CUST00034,Ashley Verma,31,Female,Monthly,2023-07-20,2025-07-16,0,3,1
CUST00035,Rohan Smith,30,Other,Yearly,2024-04-29,2025-12-15,11,7,0
CUST00036,Kathleen Wilson,38,Female,Yearly,2023-12-04,2025-12-22,33,7,0
CUST00037,Kimberly Nair,36,Female,Monthly,2025-05-16,2025-12-11,17,4,0
CUST00038,Gregory Rivera,33,Female,Monthly,2024-03-21,2025-12-09,18,10,0
CUST00039,Jack Wright,31,Male,Monthly,2023-04-13,2025-12-14,20,7,0
CUST00040,Suresh Kumar,21,Female,Monthly,2025-11-06,2025-11-08,7,5,1
CUST00041,Scott Jones,42,Female,Monthly,2023-09-03,2025-12-10,10,9,0
CUST00042,Ashley Nguyen,18,Female,Quarterly,2025-05-08,2025-12-10,22,10,0
CUST00043,Eric Lee,23,Female,Monthly,2024-10-05,2025-08-22,2,4,1
CUST00044,Thomas Nelson,28,Female,Monthly,2023-05-29,2025-06-25,0,4,1
CUST00045,Larry Miller,22,Male,Monthly,2024-06-27,2025-09-03,5,2,1
CUST00046,Kavita Jones,51,Female,Monthly,2023-11-20,2025-07-15,1,3,1
CUST00047,Raymond Martin,42,Female,Yearly,2025-12-19,2025-12-24,0,4,1
CUST00048,Vivek Nelson,48,Male,Yearly,2024-06-25,2025-11-04,0,4,1
CUST00049,Janet Scott,36,Male,Monthly,2024-03-07,2026-01-02,24,5,0
CUST00050,Debra Green,19,Female,Quarterly,2024-05-29,2026-01-12,22,7,0
CUST00051,Barbara Green,36,Male,Monthly,2023-01-08,2025-10-29,5,2,1
CUST00052,Samantha Taylor,36,Male,Monthly,2025-05-25,2026-01-08,20,6,0
CUST00053,Elizabeth Reddy,54,Female,Monthly,2023-03-15,2025-12-09,21,5,0
CUST00054,Stephen Martinez,41,Male,Monthly,2025-01-16,2026-01-13,10,8,0
CUST00055,Amit Thompson,46,Male,Monthly,2023-07-30,2025-07-11,1,5,1
CUST00056,Sanjay Verma,38,Male,Quarterly,2023-11-13,2025-12-31,24,10,0
CUST00057,Divya Hernandez,31,Other,Yearly,2025-04-24,2025-09-07,1,2,1
CUST00058,Priya Nair,25,Male,Quarterly,2024-05-23,2025-11-04,3,4,1
CUST00059,Timothy Verma,37,Male,Monthly,2024-02-13,2025-12-17,24,7,0
CUST00060,Brian Martin,49,Female,Yearly,2024-04-01,2025-10-13,3,9,1
CUST00061,Stephanie Perez,40,Male,Monthly,2024-07-25,2025-07-24,1,2,1
CUST00062,Stephanie Baker,39,Other,Quarterly,2023-02-26,2025-09-26,3,5,1
CUST00063,Daniel Nguyen,39,Other,Monthly,2023-08-11,2025-12-24,17,6,0
CUST00064,Carolyn Sharma,17,Male,Quarterly,2025-11-13,2025-11-17,2,5,1
CUST00065,Steven Williams,36,Female,Monthly,2024-02-08,2025-11-14,0,4,1
CUST00066,Christine Iyer,38,Male,Monthly,2023-09-13,2025-12-27,10,7,0
CUST00067,Nicholas Martin,34,Female,Monthly,2024-08-28,2026-01-03,8,7,0
CUST00068,Rebecca Nelson,40,Female,Quarterly,2023-12-23,2025-12-27,26,8,0
CUST00069,Stephanie Scott,18,Female,Monthly,2024-03-06,2025-07-06,1,5,1
CUST00070,Nicole Adams,39,Male,Monthly,2024-03-13,2026-01-05,22,10,0
CUST00071,Gregory Garcia,40,Male,Quarterly,2024-11-17,2025-10-02,7,5,1
CUST00072,Frank Martin,41,Male,Monthly,2023-02-20,2025-08-02,3,5,1
CUST00073,Brandon Kumar,25,Female,Monthly,2024-02-03,2025-12-22,16,6,0
CUST00074,Amy Sanchez,34,Male,Quarterly,2023-01-12,2026-01-09,36,4,0
CUST00075,Maria Ramirez,41,Male,Yearly,2025-11-26,2025-12-11,5,6,0
CUST00076,Ashley Iyer,45,Female,Monthly,2025-08-09,2025-12-11,18,5,0
CUST00077,Scott Lee,26,Female,Yearly,2025-10-30,2025-12-11,23,6,0
CUST00078,Laura Mehta,36,Male,Yearly,2025-07-10,2025-12-31,18,6,0
CUST00079,Rohan Green,57,Male,Quarterly,2025-09-19,2025-12-29,23,4,0
CUST00080,Jeffrey Jones,36,Female,Monthly,2024-11-18,2025-07-16,2,5,1
CUST00081,William Rodriguez,25,Male,Monthly,2023-11-09,2026-01-11,17,8,0
CUST00082,Rebecca Clark,43,Male,Monthly,2023-05-08,2025-08-16,0,3,1
CUST00083,Deborah Mehta,28,Female,Yearly,2023-02-10,2025-12-10,12,9,0
CUST00084,Timothy Walker,38,Male,Monthly,2025-03-09,2025-12-20,7,8,0
CUST00085,Jonathan Mitchell,57,Female,Quarterly,2024-03-27,2025-12-29,26,5,0
CUST00086,Sharon Young,28,Male,Monthly,2025-04-08,2025-12-17,28,6,0
CUST00087,Suresh Rodriguez,38,Other,Quarterly,2025-03-17,2026-01-14,24,5,0
CUST00088,William Adams,33,Male,Yearly,2024-01-08,2025-08-26,0,2,1
CUST00089,Dorothy Wilson,31,Male,Monthly,2025-02-15,2025-08-16,0,7,1
CUST00090,Steven Singh,18,Male,Monthly,2023-04-17,2025-12-24,14,7,0
CUST00091,Mark Adams,49,Male,Yearly,2023-03-24,2025-12-31,6,9,0
CUST00092,Betty Singh,34,Male,Monthly,2023-09-16,2026-01-08,10,7,0
CUST00093,Larry Wilson,36,Male,Monthly,2025-01-25,2025-06-29,2,4,1
